Vertiport,Latitude,Longitude,Grid_ID
Vertiport_1,37.782064,-122.411075,716
Vertiport_2,37.768564,-122.465075,646
Vertiport_3,37.768564,-122.438075,648
Vertiport_4,37.728064,-122.438075,450
Vertiport_5,37.62025,-122.38575,96
Vertiport_6,37.755064,-122.397575,585
Vertiport_7,37.795564,-122.397575,783
Vertiport_8,37.795564,-122.438075,780
Vertiport_9,37.768564,-122.424575,649
Vertiport_10,37.782064,-122.465075,712
Vertiport_11,37.782064,-122.397575,717
Vertiport_12,37.782064,-122.438075,714
Vertiport_13,37.768564,-122.492075,644
Vertiport_14,37.728064,-122.478575,447
Vertiport_15,37.782064,-122.424575,715
Vertiport_16,37.728064,-122.397575,453
Vertiport_17,37.755064,-122.424575,583
Vertiport_18,37.795564,-122.424575,781
Vertiport_19,37.755064,-122.438075,582
Vertiport_20,37.795564,-122.411075,782
