time_step,coverage_rate,order_fulfillment_ratio,total_cost,unmet_demand_orders,activated_vertiports,most_needed_destination,car_count_Vertiport_1,car_count_Vertiport_2,car_count_Vertiport_3,car_count_Vertiport_4,car_count_Vertiport_5,car_count_Vertiport_6,car_count_Vertiport_7,car_count_Vertiport_8,car_count_Vertiport_9,car_count_Vertiport_10,charging_rate,discharge_rate,vehicle_count
1,0.9636363636363636,0.9846938775510204,5507.681669115987,4,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,17,15,15,33,20,22,15,40,1,15
2,0.5408163265306123,0.6612903225806451,3401.0852402519968,42,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,39,15,15,54,35,31,15,40,1,15
3,0.23728813559322035,0.4411764705882353,3166.0387676319974,118,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,67,15,15,54,55,37,15,40,1,15
4,0.14849624060150377,0.3238095238095238,4748.14034473999,260,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,67,15,15,62,70,42,15,40,1,15
5,0.05432595573440644,0.13988095238095238,6734.973330571962,549,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,77,15,15,62,79,49,15,40,1,15
6,0.9779917469050894,1.0,12457.934069516066,24,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,77,15,15,64,89,53,15,40,1,15
7,0.3626943005181347,0.625,2277.254062347999,62,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,79,15,15,66,94,54,15,40,1,15
8,0.4028776978417266,0.5968992248062015,3034.476979039999,89,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,77,15,13,66,96,53,15,40,1,15
9,0.10628019323671498,0.25165562913907286,3526.312727799999,194,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,77,15,13,67,97,54,15,40,1,15
10,0.37969924812030076,0.6791666666666667,5181.434027619988,178,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,78,15,13,67,97,56,15,40,1,15
11,0.17714285714285713,0.3562231759656652,6373.352823979982,315,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,15,15,79,15,13,68,96,56,15,40,1,15
12,0.009687034277198211,0.02857142857142857,10972.741757451986,684,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,17,15,79,15,13,68,95,58,15,40,1,15
13,0.027037466203167246,0.0945945945945946,20075.286589440046,1298,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,19,15,79,15,13,68,95,59,15,40,1,15
14,0.03765861645517806,0.09319526627218935,37879.21268585588,2472,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,20,15,81,15,13,69,95,59,15,40,1,15
15,0.4136046730732994,0.805240516229957,70238.42486011381,932,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",,15,21,15,83,15,13,70,95,60,15,40,1,15
