time_step,total_cost,fulfill,unfulfill,real_flow,gurobi_assignment_ratio,big_picture_assignment_ratio,charging_rate,discharge_rate,vehicle_count
1,5507.681669115987,56,212.0,268.0,0.208955223880597,0.208955223880597,40,1,15
2,3401.0852402519968,57,94.0,151.0,0.37748344370860926,0.37748344370860926,40,1,15
3,2383.593473451999,49,66.0,115.0,0.4260869565217391,0.4260869565217391,40,1,15
4,2400.804462199999,53,50.0,103.0,0.5145631067961165,0.5145631067961165,40,1,15
5,1622.9974085960014,47,36.0,83.0,0.5662650602409639,0.5662650602409639,40,1,15
6,1729.739702648001,46,32.0,78.0,0.5897435897435898,0.5897435897435898,40,1,15
7,1720.8485198200005,47,35.0,82.0,0.573170731707317,0.573170731707317,40,1,15
8,1691.9194695200001,9,80.0,89.0,0.10112359550561797,0.10112359550561797,40,1,15
9,2439.463473948,10,111.0,121.0,0.08264462809917356,0.08264462809917356,40,1,15
10,3942.4115288359967,4,213.0,217.0,0.018433179723502304,0.018433179723502304,40,1,15
