time_step,coverage_rate,total_cost,unmet_demand_orders,activated_vertiports,most_needed_destination,car_count_Vertiport_1,car_count_Vertiport_2,car_count_Vertiport_3,car_count_Vertiport_4,car_count_Vertiport_5,car_count_Vertiport_6,car_count_Vertiport_7,car_count_Vertiport_8,car_count_Vertiport_9,car_count_Vertiport_10,charging_rate,discharge_rate,vehicle_count
1,0.9708333333333333,5507.681669115987,148,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,17,15,15,33,20,22,15,40,1,15
2,0.9722222222222222,7296.889770963972,338,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,87,15,15,240,23,22,15,40,1,15
3,0.5617529880478087,11083.493455256013,669,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,182,15,15,240,66,22,15,40,1,15
4,0.5343618513323983,18960.5473061721,1349,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,233,15,15,240,126,22,15,40,1,15
5,0.5156221780747697,34687.56954729248,2682,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,263,15,15,315,148,22,15,40,1,15
6,0.8827953044754219,66704.11041856589,5346,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,353,15,15,357,175,22,15,40,1,15
7,0.504456657276128,130559.83630050626,10677,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,15,15,387,15,15,421,208,22,15,40,1,15
8,0.49184008889094655,258290.6022608502,21360,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,14,15,444,15,15,456,222,21,15,40,1,15
9,0.4911660777385159,514713.20875479444,42750,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,14,15,457,15,15,473,215,21,15,40,1,15
10,0.44981636601670666,1028017.7192154838,85536,"Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10",Vertiport_7,15,14,15,451,15,15,470,224,21,15,40,1,15
