time_step,met_demand,unmet_demand,iteration_cost,cumulative_cost,vertiport_counts
1,748.0,212,9453.996708499984,9453.996708499984,"{'Vertiport_1': 15, 'Vertiport_2': 8, 'Vertiport_3': 15, 'Vertiport_4': 14, 'Vertiport_5': 15, 'Vertiport_6': 3, 'Vertiport_7': 24, 'Vertiport_8': 19, 'Vertiport_9': 22, 'Vertiport_10': 15}"
2,375.0,87,5021.2966503999905,14475.293358899975,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 26, 'Vertiport_8': 19, 'Vertiport_9': 16, 'Vertiport_10': 15}"
3,296.0,66,3583.0661492319978,18058.359508131973,"{'Vertiport_1': 15, 'Vertiport_2': 16, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 25, 'Vertiport_8': 19, 'Vertiport_9': 14, 'Vertiport_10': 15}"
4,256.0,50,3351.1904492879976,21409.54995741997,"{'Vertiport_1': 15, 'Vertiport_2': 10, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 25, 'Vertiport_8': 19, 'Vertiport_9': 20, 'Vertiport_10': 15}"
5,202.0,36,2263.808319931999,23673.35827735197,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 12, 'Vertiport_5': 15, 'Vertiport_6': 2, 'Vertiport_7': 23, 'Vertiport_8': 22, 'Vertiport_9': 16, 'Vertiport_10': 15}"
6,188.0,32,2339.007785003999,26012.36606235597,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 4, 'Vertiport_7': 18, 'Vertiport_8': 22, 'Vertiport_9': 15, 'Vertiport_10': 15}"
7,199.0,35,2290.5380442679993,28302.90410662397,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 12, 'Vertiport_5': 15, 'Vertiport_6': 6, 'Vertiport_7': 21, 'Vertiport_8': 22, 'Vertiport_9': 16, 'Vertiport_10': 15}"
8,219.0,41,2243.6129298319997,30546.51703645597,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 26, 'Vertiport_8': 20, 'Vertiport_9': 16, 'Vertiport_10': 15}"
9,157.0,21,2052.66270598,32599.179742435972,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 7, 'Vertiport_7': 21, 'Vertiport_8': 16, 'Vertiport_9': 18, 'Vertiport_10': 15}"
10,137.0,17,1349.932686892001,33949.11242932797,"{'Vertiport_1': 15, 'Vertiport_2': 12, 'Vertiport_3': 15, 'Vertiport_4': 13, 'Vertiport_5': 15, 'Vertiport_6': 3, 'Vertiport_7': 20, 'Vertiport_8': 24, 'Vertiport_9': 18, 'Vertiport_10': 15}"
11,143.0,13,1711.6634554799998,35660.77588480797,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 18, 'Vertiport_8': 26, 'Vertiport_9': 18, 'Vertiport_10': 15}"
12,195.0,31,2308.443855567999,37969.219740375964,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 2, 'Vertiport_7': 25, 'Vertiport_8': 18, 'Vertiport_9': 17, 'Vertiport_10': 15}"
13,153.0,21,1432.1634540360005,39401.38319441197,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 14, 'Vertiport_5': 15, 'Vertiport_6': 3, 'Vertiport_7': 16, 'Vertiport_8': 27, 'Vertiport_9': 15, 'Vertiport_10': 15}"
14,161.0,25,1538.8219756400008,40940.205170051966,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 4, 'Vertiport_7': 18, 'Vertiport_8': 23, 'Vertiport_9': 14, 'Vertiport_10': 15}"
15,271.0,63,3096.198782031998,44036.403952083965,"{'Vertiport_1': 15, 'Vertiport_2': 16, 'Vertiport_3': 15, 'Vertiport_4': 6, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 33, 'Vertiport_8': 21, 'Vertiport_9': 14, 'Vertiport_10': 15}"
16,234.0,52,2760.81079518,46797.21474726396,"{'Vertiport_1': 15, 'Vertiport_2': 12, 'Vertiport_3': 15, 'Vertiport_4': 3, 'Vertiport_5': 15, 'Vertiport_6': 2, 'Vertiport_7': 33, 'Vertiport_8': 21, 'Vertiport_9': 19, 'Vertiport_10': 15}"
17,274.0,66,3389.042801215999,50186.25754847996,"{'Vertiport_1': 15, 'Vertiport_2': 14, 'Vertiport_3': 15, 'Vertiport_4': 1, 'Vertiport_5': 15, 'Vertiport_6': 2, 'Vertiport_7': 35, 'Vertiport_8': 22, 'Vertiport_9': 16, 'Vertiport_10': 15}"
18,255.0,59,3305.6347139159966,53491.89226239596,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 1, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 40, 'Vertiport_8': 19, 'Vertiport_9': 17, 'Vertiport_10': 15}"
19,353.0,95,4787.547999167994,58279.440261563956,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 0, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 39, 'Vertiport_8': 21, 'Vertiport_9': 17, 'Vertiport_10': 15}"
20,367.0,99,4665.183628327992,62944.62388989195,"{'Vertiport_1': 15, 'Vertiport_2': 12, 'Vertiport_3': 15, 'Vertiport_4': 1, 'Vertiport_5': 15, 'Vertiport_6': 1, 'Vertiport_7': 37, 'Vertiport_8': 21, 'Vertiport_9': 18, 'Vertiport_10': 15}"
21,329.0,87,4142.839641607997,67087.46353149995,"{'Vertiport_1': 15, 'Vertiport_2': 16, 'Vertiport_3': 15, 'Vertiport_4': 1, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 37, 'Vertiport_8': 22, 'Vertiport_9': 14, 'Vertiport_10': 15}"
22,403.0,109,5668.225973495991,72755.68950499594,"{'Vertiport_1': 15, 'Vertiport_2': 11, 'Vertiport_3': 15, 'Vertiport_4': 3, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 34, 'Vertiport_8': 24, 'Vertiport_9': 18, 'Vertiport_10': 15}"
23,509.0,155,6320.991168487979,79076.68067348392,"{'Vertiport_1': 15, 'Vertiport_2': 14, 'Vertiport_3': 15, 'Vertiport_4': 11, 'Vertiport_5': 15, 'Vertiport_6': 0, 'Vertiport_7': 33, 'Vertiport_8': 16, 'Vertiport_9': 16, 'Vertiport_10': 15}"
24,564.0,174,7357.960531199971,86434.6412046839,"{'Vertiport_1': 15, 'Vertiport_2': 13, 'Vertiport_3': 15, 'Vertiport_4': 13, 'Vertiport_5': 15, 'Vertiport_6': 9, 'Vertiport_7': 22, 'Vertiport_8': 15, 'Vertiport_9': 18, 'Vertiport_10': 15}"
25,456.0,140,6009.39755139998,92444.03875608387,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 12, 'Vertiport_5': 15, 'Vertiport_6': 14, 'Vertiport_7': 17, 'Vertiport_8': 17, 'Vertiport_9': 15, 'Vertiport_10': 15}"
26,440.0,140,6278.3528639439855,98722.39162002786,"{'Vertiport_1': 15, 'Vertiport_2': 14, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 12, 'Vertiport_7': 19, 'Vertiport_8': 14, 'Vertiport_9': 16, 'Vertiport_10': 15}"
27,648.0,210,8514.58813865998,107236.97975868784,"{'Vertiport_1': 15, 'Vertiport_2': 14, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 13, 'Vertiport_7': 18, 'Vertiport_8': 14, 'Vertiport_9': 16, 'Vertiport_10': 15}"
28,597.0,193,8148.722428831958,115385.7021875198,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 12, 'Vertiport_7': 18, 'Vertiport_8': 13, 'Vertiport_9': 16, 'Vertiport_10': 15}"
29,664.0,216,8929.786248591976,124315.48843611177,"{'Vertiport_1': 15, 'Vertiport_2': 15, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 14, 'Vertiport_7': 17, 'Vertiport_8': 13, 'Vertiport_9': 15, 'Vertiport_10': 15}"
30,618.0,202,7892.804134111972,132208.29257022374,"{'Vertiport_1': 15, 'Vertiport_2': 14, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 16, 'Vertiport_7': 15, 'Vertiport_8': 14, 'Vertiport_9': 16, 'Vertiport_10': 15}"
31,683.0,223,9209.751810499978,141418.04438072373,"{'Vertiport_1': 15, 'Vertiport_2': 17, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 17, 'Vertiport_7': 15, 'Vertiport_8': 12, 'Vertiport_9': 14, 'Vertiport_10': 15}"
32,665.0,219,9727.665638223985,151145.71001894772,"{'Vertiport_1': 15, 'Vertiport_2': 17, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 16, 'Vertiport_7': 14, 'Vertiport_8': 16, 'Vertiport_9': 12, 'Vertiport_10': 15}"
33,698.0,226,9561.263042411987,160706.97306135972,"{'Vertiport_1': 15, 'Vertiport_2': 19, 'Vertiport_3': 15, 'Vertiport_4': 17, 'Vertiport_5': 15, 'Vertiport_6': 16, 'Vertiport_7': 15, 'Vertiport_8': 11, 'Vertiport_9': 12, 'Vertiport_10': 15}"
34,662.0,218,8866.961734595983,169573.9347959557,"{'Vertiport_1': 15, 'Vertiport_2': 17, 'Vertiport_3': 15, 'Vertiport_4': 16, 'Vertiport_5': 15, 'Vertiport_6': 15, 'Vertiport_7': 15, 'Vertiport_8': 15, 'Vertiport_9': 12, 'Vertiport_10': 15}"
35,604.0,200,8421.897323907966,177995.83211986365,"{'Vertiport_1': 15, 'Vertiport_2': 16, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 16, 'Vertiport_7': 14, 'Vertiport_8': 15, 'Vertiport_9': 14, 'Vertiport_10': 15}"
36,697.0,229,9779.597175828,187775.42929569166,"{'Vertiport_1': 15, 'Vertiport_2': 16, 'Vertiport_3': 15, 'Vertiport_4': 18, 'Vertiport_5': 15, 'Vertiport_6': 16, 'Vertiport_7': 14, 'Vertiport_8': 12, 'Vertiport_9': 14, 'Vertiport_10': 15}"
37,735.0,239,10118.26594099599,197893.69523668766,"{'Vertiport_1': 15, 'Vertiport_2': 19, 'Vertiport_3': 15, 'Vertiport_4': 15, 'Vertiport_5': 15, 'Vertiport_6': 18, 'Vertiport_7': 14, 'Vertiport_8': 13, 'Vertiport_9': 11, 'Vertiport_10': 15}"
