,Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9,Vertiport_10
Vertiport_1,0,18.12033321,4.607230435,4.219244963,2.400996646,4.563923322,4.599298733,3.360040029,2.329788143,3.032722659
Vertiport_2,18.12033321,0,19.02600581,20.33512603,19.70512132,17.23872759,13.73049346,18.58078004,16.64360484,18.0927253
Vertiport_3,4.607230435,19.02600581,0,1.717618431,2.950127341,1.796709555,5.870113105,1.252168183,3.446695015,7.63964069
Vertiport_4,4.219244963,20.33512603,1.717618431,0,1.943293705,3.338594579,6.813937495,1.757862168,3.998537333,7.135847675
Vertiport_5,2.400996646,19.70512132,2.950127341,1.943293705,0,3.821690351,5.976251331,1.994977384,3.065224048,5.210547536
Vertiport_6,4.563923322,17.23872759,1.796709555,3.338594579,3.821690351,0,4.346918301,1.865392832,2.611112936,7.442070901
Vertiport_7,4.599298733,13.73049346,5.870113105,6.813937495,5.976251331,4.346918301,0,5.080123119,2.924148254,5.920992956
Vertiport_8,3.360040029,18.58078004,1.252168183,1.757862168,1.994977384,1.865392832,5.080123119,0,2.371694565,6.391014641
Vertiport_9,2.329788143,16.64360484,3.446695015,3.998537333,3.065224048,2.611112936,2.924148254,2.371694565,0,4.915253322
Vertiport_10,3.032722659,18.0927253,7.63964069,7.135847675,5.210547536,7.442070901,5.920992956,6.391014641,4.915253322,0
