charging_rate,discharge_rate,vehicle_count,coverage_rate,cumulative_cost
30,1,10,0.7518977258940016,4043983.3257046896
30,1,15,0.7525986151298911,4032794.2644225652
30,1,20,0.7531033678564235,4022809.541403821
30,3,10,0.7506521933116723,4063232.121814607
30,3,15,0.7509775890341841,4058104.3532260577
30,3,20,0.7512879613111683,4053365.774949445
30,5,10,0.7503932713887199,4067831.394924943
30,5,15,0.7505916864770121,4064992.699537151
30,5,20,0.7507890991402627,4062157.8454294787
35,1,10,0.7518977258940016,4043983.3257046896
35,1,15,0.7525986151298911,4032794.2644225652
35,1,20,0.7531033678564235,4022809.541403821
35,3,10,0.7506521933116723,4063232.121814607
35,3,15,0.7509775890341841,4058104.3532260577
35,3,20,0.7512879613111683,4053365.774949445
35,5,10,0.7503932713887199,4067831.394924943
35,5,15,0.7505916864770121,4064992.699537151
35,5,20,0.7507890991402627,4062157.8454294787
40,1,10,0.7518977258940016,4043983.3257046896
40,1,15,0.7525986151298911,4032794.2644225652
40,1,20,0.7531033678564235,4022809.541403821
40,3,10,0.7506521933116723,4063232.121814607
40,3,15,0.7509775890341841,4058104.3532260577
40,3,20,0.7512879613111683,4053365.774949445
40,5,10,0.7503932713887199,4067831.394924943
40,5,15,0.7505916864770121,4064992.699537151
40,5,20,0.7507890991402627,4062157.8454294787
