Time,start,end,flow,distance
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_7,Vertiport_6,1,4.346918301
T0,Vertiport_8,Vertiport_6,1,1.865392832
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_2,Vertiport_9,1,16.64360484
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_8,3,1.757862168
T0,Vertiport_2,Vertiport_9,2,16.64360484
T0,Vertiport_2,Vertiport_9,1,16.64360484
T0,Vertiport_4,Vertiport_7,5,6.813937495
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_2,Vertiport_9,1,16.64360484
T0,Vertiport_2,Vertiport_9,1,16.64360484
T0,Vertiport_9,Vertiport_2,1,16.64360484
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_2,Vertiport_9,1,16.64360484
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_8,1,1.865392832
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,2,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,2,4.346918301
T0,Vertiport_6,Vertiport_7,2,4.346918301
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,2,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,2,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,2,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_7,Vertiport_4,4,6.813937495
T0,Vertiport_7,Vertiport_4,2,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_7,Vertiport_4,1,6.813937495
T0,Vertiport_6,Vertiport_7,1,4.346918301
T0,Vertiport_8,Vertiport_6,1,1.865392832
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_8,2,1.757862168
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_8,2,1.757862168
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_8,1,1.757862168
T0,Vertiport_4,Vertiport_8,2,1.757862168
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_7,2,6.813937495
T0,Vertiport_4,Vertiport_7,1,6.813937495
T0,Vertiport_4,Vertiport_7,1,6.813937495
