Time,start,end,flow,distance
T0,Vertiport_6,Vertiport_7,1,130.5988464
T0,Vertiport_6,Vertiport_7,1,220.5988464
T0,Vertiport_6,Vertiport_7,1,310.5988464
T0,Vertiport_6,Vertiport_7,1,130.5988464
T0,Vertiport_4,Vertiport_7,1,213.0833938
T0,Vertiport_7,Vertiport_6,1,205.5988464
T0,Vertiport_8,Vertiport_6,1,150.907752
T0,Vertiport_4,Vertiport_7,1,83.08339376
T0,Vertiport_4,Vertiport_7,1,168.0833938
T0,Vertiport_2,Vertiport_9,1,181.5763137
T0,Vertiport_7,Vertiport_4,1,223.0833938
T0,Vertiport_6,Vertiport_7,1,345.5988464
T0,Vertiport_6,Vertiport_7,1,245.5988464
T0,Vertiport_7,Vertiport_4,1,253.0833938
T0,Vertiport_6,Vertiport_7,1,235.5988464
T0,Vertiport_6,Vertiport_7,1,135.5988464
T0,Vertiport_7,Vertiport_4,1,143.0833938
T0,Vertiport_6,Vertiport_7,1,170.5988464
T0,Vertiport_6,Vertiport_7,1,245.5988464
T0,Vertiport_7,Vertiport_4,1,153.0833938
T0,Vertiport_6,Vertiport_7,1,200.5988464
T0,Vertiport_6,Vertiport_7,1,195.5988464
T0,Vertiport_7,Vertiport_4,1,198.0833938
T0,Vertiport_6,Vertiport_7,1,160.5988464
T0,Vertiport_6,Vertiport_7,1,130.5988464
T0,Vertiport_4,Vertiport_8,1,101.5785511
T0,Vertiport_4,Vertiport_7,1,138.0833938
T0,Vertiport_4,Vertiport_8,1,111.5785511
T0,Vertiport_4,Vertiport_8,3,121.5785511
T0,Vertiport_2,Vertiport_9,2,131.5763137
T0,Vertiport_2,Vertiport_9,1,126.5763137
T0,Vertiport_4,Vertiport_7,5,193.0833938
T0,Vertiport_4,Vertiport_8,1,96.5785511
T0,Vertiport_4,Vertiport_8,1,126.5785511
T0,Vertiport_2,Vertiport_9,1,126.5763137
T0,Vertiport_2,Vertiport_9,1,121.5763137
T0,Vertiport_9,Vertiport_2,1,116.5763137
T0,Vertiport_4,Vertiport_7,1,198.0833938
T0,Vertiport_4,Vertiport_8,1,131.5785511
T0,Vertiport_2,Vertiport_9,1,136.5763137
T0,Vertiport_6,Vertiport_7,1,290.5988464
T0,Vertiport_6,Vertiport_7,1,285.5988464
T0,Vertiport_6,Vertiport_7,1,170.5988464
T0,Vertiport_6,Vertiport_7,1,285.5988464
T0,Vertiport_7,Vertiport_4,1,183.0833938
T0,Vertiport_6,Vertiport_7,1,265.5988464
