vehicle_id,location,battery,in_service,charging,avail,status,origin,idle_count
V1,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V2,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V3,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V4,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V5,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V6,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V7,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V8,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V9,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V10,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V11,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V12,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V13,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V14,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V15,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V16,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V17,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V18,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V19,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V20,Vertiport_1,100.0,0,0,1,standby,Vertiport_1,0
V21,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V22,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V23,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V24,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V25,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V26,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V27,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V28,Vertiport_2,16.781975800000012,0,0,1,standby,Vertiport_2,0
V29,Vertiport_9,16.781975800000012,1,0,1,in_service,Vertiport_2,0
V30,Vertiport_9,16.781975800000012,1,0,1,in_service,Vertiport_2,0
V31,Vertiport_9,16.781975800000012,1,0,1,in_service,Vertiport_2,0
V32,Vertiport_9,16.781975800000012,1,0,1,in_service,Vertiport_2,0
V33,Vertiport_9,16.781975800000012,1,0,1,in_service,Vertiport_2,0
V34,Vertiport_9,16.781975800000012,1,0,1,in_service,Vertiport_2,0
V35,Vertiport_2,100.0,0,0,1,standby,Vertiport_2,0
V36,Vertiport_2,100.0,0,0,1,standby,Vertiport_2,0
V37,Vertiport_2,100.0,0,0,1,standby,Vertiport_2,0
V38,Vertiport_2,100.0,0,0,1,standby,Vertiport_2,0
V39,Vertiport_2,100.0,0,0,1,standby,Vertiport_2,0
V40,Vertiport_2,100.0,0,0,1,standby,Vertiport_2,0
V41,Vertiport_3,100.0,0,0,1,standby,Vertiport_3,0
V42,Vertiport_3,100.0,0,0,1,standby,Vertiport_3,0
V43,Vertiport_3,100.0,0,0,1,standby,Vertiport_3,0
V44,Vertiport_3,100.0,0,0,1,standby,Vertiport_3,0
V45,Vertiport_3,100.0,0,0,1,standby,Vertiport_3,0
V46,Vertiport_3,100.0,0,0,1,standby,Vertiport_3,0
